name,lat,long,country,state
Bay Minette,30.88296,-87.77305,US,AL
Edna,28.97859,-96.64609,US,TX
Bayou La Batre,30.40352,-88.24852,US,AL
Henderson,32.15322,-94.79938,US,TX
Natalia,29.18968,-98.86253,US,TX
Bear Creek,34.27482,-87.70058,US,AL
Fort Hunt,38.73289,-77.05803,US,VA
Yorktown,37.23876,-76.50967,US,VA
Brighton,33.43428,-86.94721,US,AL
Ocean View,38.54511,-75.08907,US,DE
Berry,33.65983,-87.60001,US,AL
Trinity,28.18085,-82.68177,US,FL
Villas,26.55035,-81.8687,US,FL
Bessemer,33.40178,-86.95444,US,AL
Aurora,39.057,-84.90134,US,IN
New Pekin,38.50506,-86.01692,US,IN
Stockton,39.43807,-99.2651,US,KS
Paducah,37.08339,-88.60005,US,KY
Monticello,32.59653,-91.394,US,LA
Red Chute,32.55598,-93.61323,US,LA
Jessup,39.14927,-76.77525,US,MD
Birmingham,33.52066,-86.80249,US,AL
Delhi Hills,39.09284,-84.61272,US,OH
Turpin Hills,39.11006,-84.37994,US,OH
Lugoff,34.22737,-80.68925,US,SC
Blountsville,34.08149,-86.5911,US,AL
Blue Ridge,32.49264,-86.19052,US,AL
Buda,30.08521,-97.84028,US,TX
Boaz,34.20065,-86.16637,US,AL
Brent,32.93735,-87.16472,US,AL
Brewton,31.10518,-87.07219,US,AL
Bridgeport,34.94758,-85.71442,US,AL
Brook Highland,33.43566,-86.67388,US,AL
Brookside,33.63788,-86.91666,US,AL
Brookwood,33.25567,-87.32083,US,AL
Brundidge,31.72016,-85.81606,US,AL
Butler,32.08959,-88.22197,US,AL
Bynum,33.61316,-85.96108,US,AL
Cahaba Heights,33.464,-86.73193,US,AL
Calera,33.1029,-86.7536,US,AL
Camden,31.99098,-87.29055,US,AL
Camp Hill,32.80041,-85.65357,US,AL
Carbon Hill,33.89177,-87.52612,US,AL
Carrollton,33.26179,-88.09503,US,AL
Cedar Bluff,34.22009,-85.60774,US,AL
Center Point,33.64566,-86.6836,US,AL
Centre,34.15204,-85.67885,US,AL
Centreville,32.9462,-87.11669,US,AL
Chalkville,33.65316,-86.64777,US,AL
Chatom,31.46517,-88.25446,US,AL
Chelsea,33.34011,-86.63026,US,AL
Cherokee,34.75703,-87.97281,US,AL
Chickasaw,30.7638,-88.07472,US,AL
Childersburg,33.27817,-86.35498,US,AL
Choccolocco,33.65927,-85.70357,US,AL
Citronelle,31.09073,-88.22806,US,AL
Clanton,32.83874,-86.62943,US,AL
Clay,33.7026,-86.59971,US,AL
Clayton,31.87822,-85.44966,US,AL
Cleveland,33.99093,-86.57749,US,AL
Clio,31.70878,-85.6105,US,AL
Coaling,33.15901,-87.34083,US,AL
Collinsville,34.26398,-85.86053,US,AL
Columbiana,33.17817,-86.60721,US,AL
Concord,33.46761,-87.03111,US,AL
Coosada,32.49791,-86.33136,US,AL
Cordova,33.75983,-87.18333,US,AL
Cottonwood,31.04879,-85.30493,US,AL
Cowarts,31.20018,-85.30465,US,AL
Creola,30.89185,-88.03972,US,AL
Crossville,34.28759,-85.99414,US,AL
Cullman,34.17482,-86.84361,US,AL
Dadeville,32.83124,-85.76357,US,AL
Daleville,31.31017,-85.71299,US,AL
Danville,34.41454,-87.08751,US,AL
Daphne,30.60353,-87.9036,US,AL
Dauphin Island,30.25548,-88.10972,US,AL
Deatsville,32.60819,-86.39581,US,AL
Decatur,34.60593,-86.98334,US,AL
Demopolis,32.51764,-87.8364,US,AL
Dora,33.72872,-87.09028,US,AL
Dothan,31.22323,-85.39049,US,AL
Double Springs,34.14649,-87.40224,US,AL
East Brewton,31.09323,-87.06275,US,AL
East Florence,34.80953,-87.64947,US,AL
Eclectic,32.63541,-86.03441,US,AL
Elberta,30.41436,-87.59776,US,AL
Enterprise,31.31517,-85.85522,US,AL
Eufaula,31.89127,-85.14549,US,AL
Eutaw,32.84068,-87.88751,US,AL
Evergreen,31.4335,-86.95692,US,AL
Fairfield,33.48594,-86.91194,US,AL
Fairhope,30.52297,-87.90333,US,AL
Falkville,34.36843,-86.90862,US,AL
Fayette,33.68455,-87.83085,US,AL
Fayetteville,33.14567,-86.40581,US,AL
Flint City,34.52315,-86.97029,US,AL
Florala,31.00518,-86.328,US,AL
Florence,34.79981,-87.67725,US,AL
Flomaton,31.00018,-87.26081,US,AL
Foley,30.40659,-87.6836,US,AL
Forestdale,33.57011,-86.89638,US,AL
Fort Deposit,31.98459,-86.57859,US,AL
Fort Payne,34.44425,-85.71969,US,AL
Frisco City,31.4335,-87.40138,US,AL
Fultondale,33.60483,-86.79388,US,AL
Fyffe,34.44676,-85.90414,US,AL
Gadsden,34.01426,-86.00664,US,AL
Gardendale,33.6601,-86.81277,US,AL
Geneva,31.03296,-85.86382,US,AL
Georgiana,31.6371,-86.74192,US,AL
Glencoe,33.95704,-85.93247,US,AL
Good Hope,34.11593,-86.86361,US,AL
Goodwater,33.06567,-86.0533,US,AL
Gordo,33.32012,-87.9028,US,AL
Grand Bay,30.47631,-88.34223,US,AL
Grayson Valley,33.64816,-86.63943,US,AL
Graysville,33.62066,-86.97138,US,AL
Greensboro,32.70458,-87.59584,US,AL
Greenville,31.8296,-86.61775,US,AL
Grove Hill,31.70877,-87.77722,US,AL
Guin,33.96566,-87.91475,US,AL
Gulf Shores,30.24604,-87.70082,US,AL
Guntersville,34.35815,-86.2947,US,AL
Hackleburg,34.27732,-87.82864,US,AL
Haleyville,34.22649,-87.62141,US,AL
Hamilton,34.14232,-87.98864,US,AL
Hanceville,34.06065,-86.7675,US,AL
Harpersville,33.344,-86.43804,US,AL
Hartford,31.1024,-85.69688,US,AL
Hartselle,34.44343,-86.93528,US,AL
Harvest,34.85564,-86.75083,US,AL
Hayneville,32.18403,-86.58025,US,AL
Hazel Green,34.93231,-86.57194,US,AL
Headland,31.35128,-85.34216,US,AL
Heflin,33.64899,-85.58746,US,AL
Helena,33.29622,-86.8436,US,AL
Henagar,34.63508,-85.76719,US,AL
Hokes Bluff,33.99815,-85.86636,US,AL
Holt,33.23401,-87.48445,US,AL
Holtville,32.63624,-86.32664,US,AL
Homewood,33.47177,-86.80082,US,AL
Hoover,33.40539,-86.81138,US,AL
Hueytown,33.45122,-86.99666,US,AL
Huguley,32.83457,-85.22966,US,AL
Huntsville,34.73037,-86.5861,US,AL
Indian Springs Village,33.35539,-86.75443,US,AL
Inverness,32.01488,-85.74606,US,AL
Irondale,33.53816,-86.70721,US,AL
Jackson,31.50905,-87.89444,US,AL
Jacksonville,33.81371,-85.76135,US,AL
Jasper,33.83122,-87.27751,US,AL
Jemison,32.95985,-86.74665,US,AL
Killen,34.86286,-87.53753,US,AL
Kimberly,33.77344,-86.81388,US,AL
Kinsey,31.29906,-85.34438,US,AL
Ladonia,32.4682,-85.0791,US,AL
Lafayette,32.89985,-85.40106,US,AL
Lake Purdy,33.43011,-86.68054,US,AL
Lake View,33.28067,-87.1375,US,AL
Lanett,32.86874,-85.1905,US,AL
Leeds,33.54816,-86.54443,US,AL
Leesburg,34.17982,-85.76136,US,AL
Level Plains,31.29962,-85.77799,US,AL
Linden,32.30625,-87.79807,US,AL
Lincoln,33.61316,-86.11831,US,AL
Lineville,33.31067,-85.75441,US,AL
Lipscomb,33.42566,-86.92666,US,AL
Littleville,34.59065,-87.67697,US,AL
Livingston,32.5843,-88.18725,US,AL
Locust Fork,33.9076,-86.61527,US,AL
Loxley,30.61825,-87.75305,US,AL
Luverne,31.71655,-86.26385,US,AL
Madison,34.69926,-86.74833,US,AL
Malvern,31.13934,-85.5191,US,AL
Marbury,32.70124,-86.47109,US,AL
Margaret,33.68621,-86.47498,US,AL
Marion,32.63235,-87.31917,US,AL
Meadowbrook,33.40205,-86.69665,US,AL
Meridianville,34.85148,-86.57222,US,AL
Midfield,33.4615,-86.90888,US,AL
Midland City,31.31906,-85.49382,US,AL
Mignon,33.18345,-86.26109,US,AL
Millbrook,32.47986,-86.36192,US,AL
Millport,33.56345,-88.08142,US,AL
Minor,33.53733,-86.94055,US,AL
Mobile,30.69436,-88.04305,US,AL
Monroeville,31.52794,-87.32471,US,AL
Montevallo,33.10067,-86.86416,US,AL
Montgomery,32.36681,-86.29997,US,AL
Moody,33.59094,-86.49082,US,AL
Moores Mill,34.84398,-86.51832,US,AL
Morris,33.74816,-86.8086,US,AL
Mosses,32.17459,-86.67192,US,AL
Moulton,34.48121,-87.29335,US,AL
Moundville,32.99762,-87.63001,US,AL
Mount Olive,33.67094,-86.8561,US,AL
Mount Vernon,31.08518,-88.01333,US,AL
Mountain Brook,33.50094,-86.75221,US,AL
Munford,33.52983,-85.9508,US,AL
Muscle Shoals,34.74481,-87.66753,US,AL
New Brockton,31.38572,-85.92939,US,AL
New Hope,34.53703,-86.39443,US,AL
New Market,34.91009,-86.42777,US,AL
Newton,31.33517,-85.60521,US,AL
North Bibb,33.20401,-87.15305,US,AL
Northport,33.22901,-87.57723,US,AL
Odenville,33.67732,-86.39665,US,AL
Ohatchee,33.78343,-86.00247,US,AL
Opelika,32.64541,-85.37828,US,AL
Oneonta,33.94815,-86.47276,US,AL
Opp,31.28267,-86.25551,US,AL
Orange Beach,30.29437,-87.57359,US,AL
Owens Cross Roads,34.58815,-86.45888,US,AL
Oxford,33.61427,-85.83496,US,AL
Ozark,31.45906,-85.64049,US,AL
Pelham,33.28567,-86.80999,US,AL
Pell City,33.58621,-86.28609,US,AL
Phenix City,32.47098,-85.00077,US,AL
Phil Campbell,34.35093,-87.70642,US,AL
Piedmont,33.92455,-85.61135,US,AL
Pike Road,32.28431,-86.10302,US,AL
Pine Level,32.58374,-86.46553,US,AL
Pinson,33.68899,-86.68332,US,AL
Pleasant Grove,33.49094,-86.97027,US,AL
Point Clear,30.47408,-87.91916,US,AL
Prattville,32.46402,-86.4597,US,AL
Priceville,34.52509,-86.89473,US,AL
Prichard,30.7388,-88.07889,US,AL
Ragland,33.74454,-86.15581,US,AL
Rainbow City,33.95482,-86.04192,US,AL
Rainsville,34.49425,-85.84775,US,AL
Red Bay,34.43982,-88.14087,US,AL
Reform,33.37845,-88.0153,US,AL
Rehobeth,31.12296,-85.45271,US,AL
Riverside,33.60621,-86.20442,US,AL
Roanoke,33.15123,-85.37217,US,AL
Robertsdale,30.5538,-87.71193,US,AL
Rock Creek,33.47705,-87.08027,US,AL
Rockford,32.88957,-86.21969,US,AL
Rogersville,34.82578,-87.29676,US,AL
Russellville,34.50787,-87.72864,US,AL
Saks,33.69871,-85.83969,US,AL
Samson,31.11295,-86.04605,US,AL
Saraland,30.82074,-88.07056,US,AL
Sardis City,34.17426,-86.12275,US,AL
Satsuma,30.85324,-88.05611,US,AL
Scottsboro,34.67231,-86.03415,US,AL
Selma,32.40736,-87.0211,US,AL
Sheffield,34.76509,-87.69864,US,AL
Shelby,33.1104,-86.58415,US,AL
Slocomb,31.10823,-85.59438,US,AL
Smiths Station,32.54014,-85.09855,US,AL
Smoke Rise,33.89177,-86.82027,US,AL
Southside,33.92454,-86.02247,US,AL
Spanish Fort,30.67491,-87.91527,US,AL
Springville,33.7751,-86.47165,US,AL
Steele,33.93982,-86.20164,US,AL
